contactCounter,Cell Type,Cell ID,Block Number
2,12,0,2
1,12,1,2
1,12,2,2
1,12,3,2
1,12,4,2
1,12,5,2
1,12,6,2
3,12,7,2
8,12,8,2
4,12,9,2
2,12,10,2
7,12,11,2
2,12,12,2
12,12,13,2
6,12,14,2
1,12,15,2
1,12,16,2
13,12,17,2
1,12,18,2
14,12,19,2
1,12,20,2
15,12,21,2
3,12,22,2
1,12,23,2
2,12,24,2
1,12,25,2
7,12,26,2
9,12,27,2
10,12,28,2
3,12,29,2
3,12,30,2
6,12,31,2
1,12,32,2
1,12,33,2
1,12,34,2
2,12,35,2
2,12,36,2
1,12,37,2
1,12,38,2
1,12,39,2
1,12,40,2
2,12,41,2
5,12,42,2
1,12,43,2
7,12,44,2
3,12,45,2
1,12,46,2
14,12,47,2
2,12,48,2
4,12,49,2
9,12,50,2
3,12,51,2
15,12,52,2
6,12,53,2
4,12,54,2
6,12,55,2
6,12,56,2
2,12,57,2
11,12,58,2
2,12,59,2
18,12,60,2
3,12,61,2
1,12,62,2
1,12,63,2
4,12,64,2
2,12,65,2
1,12,66,2
2,12,67,2
1,12,68,2
4,12,69,2
2,12,70,2
2,12,71,2
9,12,72,2
5,12,73,2
4,12,74,2
3,12,75,2
5,12,76,2
3,12,77,2
1,12,78,2
10,12,79,2
1,12,80,2
10,12,81,2
2,12,82,2
2,12,83,2
1,12,84,2
4,12,85,2
3,12,86,2
2,12,87,2
1,12,88,2
1,12,89,2
1,12,90,2
1,12,91,2
1,12,92,2
1,12,93,2
1,12,94,2
1,12,95,2
1,12,96,2
1,12,97,2
1,12,98,2
4,12,99,2
10,12,100,2
4,12,101,2
8,12,102,2
2,12,103,2
2,12,104,2
3,12,105,2
1,12,106,2
16,12,107,2
2,12,108,2
6,12,109,2
1,12,110,2
2,12,111,2
1,12,112,2
2,12,113,2
2,12,114,2
1,12,115,2
2,12,116,2
6,12,117,2
1,12,118,2
1,12,119,2
1,12,120,2
1,12,121,2
1,12,122,2
1,12,123,2
1,12,124,2
10,12,125,2
2,12,126,2
1,12,127,2
14,12,128,2
4,12,129,2
10,12,130,2
18,12,131,2
1,12,132,2
26,12,133,2
1,12,134,2
1,12,135,2
1,12,136,2
1,12,137,2
1,12,138,2
2,12,139,2
30,12,140,2
5,12,141,2
2,12,142,2
2,12,143,2
4,12,144,2
4,12,145,2
2,12,146,2
2,12,147,2
1,12,148,2
14,12,149,2
7,12,150,2
4,12,151,2
1,12,152,2
7,12,153,2
1,12,154,2
1,12,155,2
1,12,156,2
2,12,157,2
1,12,158,2
1,12,159,2
1,12,160,2
1,12,161,2
1,12,162,2
1,12,163,2
1,12,164,2
1,12,165,2
1,12,166,2
2,12,167,2
1,12,168,2
2,12,169,2
4,12,170,2
1,12,171,2
3,12,172,2
1,12,173,2
1,12,174,2
1,12,175,2
1,12,176,2
1,12,177,2
1,12,178,2
1,12,179,2
1,12,180,2
1,12,181,2
1,12,182,2
2,12,183,2
1,12,184,2
1,12,185,2
1,12,186,2
2,12,187,2
1,12,188,2
7,12,189,2
6,12,190,2
1,12,191,2
7,12,192,2
2,12,193,2
1,12,194,2
1,12,195,2
3,12,196,2
2,12,197,2
2,12,198,2
2,12,199,2
2,12,200,2
1,12,201,2
1,12,202,2
2,12,203,2
6,12,204,2
3,12,205,2
1,12,206,2
1,12,207,2
5,12,208,2
1,12,209,2
2,12,210,2
1,12,211,2
1,12,212,2
3,12,213,2
1,12,214,2
1,12,215,2
4,12,216,2
1,12,217,2
1,12,218,2
1,12,219,2
1,12,220,2
1,12,221,2
1,12,222,2
1,12,223,2
1,12,224,2
2,12,225,2
2,12,226,2
1,12,227,2
5,12,228,2
5,12,229,2
4,12,230,2
2,12,231,2
2,12,232,2
2,12,233,2
2,12,234,2
1,12,235,2
1,12,236,2
1,12,237,2
1,12,238,2
2,12,239,2
1,12,240,2
1,12,241,2
2,12,242,2
1,12,243,2
1,12,244,2
1,12,245,2
1,12,246,2
1,12,247,2
2,12,248,2
1,12,249,2
1,12,250,2
2,12,251,2
1,12,252,2
1,12,253,2
1,12,254,2
1,12,255,2
1,12,256,2
1,12,257,2
3,12,258,2
1,12,259,2
1,12,260,2
1,12,261,2
2,12,262,2
3,12,263,2
1,12,264,2
1,12,265,2
1,12,266,2
1,12,267,2
1,12,268,2
1,12,269,2
1,12,270,2
8,12,271,2
3,12,272,2
2,12,273,2
1,12,274,2
1,12,275,2
19,12,276,2
6,12,277,2
10,12,278,2
5,12,279,2
1,12,280,2
2,12,281,2
5,12,282,2
1,12,283,2
3,12,284,2
30,12,285,2
1,12,286,2
5,12,287,2
8,12,288,2
1,12,289,2
1,12,290,2
1,12,291,2
1,12,292,2
1,12,293,2
1,12,294,2
1,12,295,2
2,12,296,2
1,12,297,2
1,12,298,2
2,12,299,2
3,12,300,2
2,12,301,2
1,12,302,2
1,12,303,2
1,12,304,2
1,12,305,2
1,12,306,2
2,12,307,2
1,12,308,2
1,12,309,2
2,12,310,2
1,12,311,2
1,12,312,2
1,12,313,2
1,12,314,2
1,12,315,2
1,12,316,2
1,12,317,2
1,12,318,2
1,12,319,2
1,12,320,2
1,12,321,2
2,12,322,2
9,12,323,2
3,12,324,2
11,12,325,2
2,12,326,2
5,12,327,2
4,12,328,2
1,12,329,2
2,12,330,2
2,12,331,2
3,12,332,2
15,12,333,2
26,12,334,2
1,12,335,2
1,12,336,2
3,12,337,2
1,12,338,2
1,12,339,2
2,12,340,2
2,12,341,2
7,12,342,2
2,12,343,2
1,12,344,2
1,12,345,2
1,12,346,2
1,12,347,2
4,12,348,2
1,12,349,2
2,12,350,2
2,12,351,2
1,12,352,2
4,12,353,2
1,12,354,2
8,12,355,2
14,12,356,2
2,12,357,2
4,12,358,2
5,12,359,2
1,12,360,2
8,12,361,2
6,12,362,2
18,12,363,2
1,12,364,2
16,12,365,2
2,12,366,2
1,12,367,2
4,12,368,2
1,12,369,2
1,12,370,2
6,12,371,2
2,12,372,2
3,12,373,2
1,12,374,2
1,12,375,2
1,12,376,2
1,12,377,2
1,12,378,2
1,12,379,2
2,12,380,2
1,12,381,2
1,12,382,2
2,12,383,2
1,12,384,2
1,12,385,2
1,12,386,2
1,12,387,2
1,12,388,2
1,12,389,2
1,12,390,2
1,12,391,2
2,12,392,2
1,12,393,2
1,12,394,2
6,12,395,2
4,12,396,2
8,12,397,2
3,12,398,2
4,12,399,2
6,12,400,2
4,12,401,2
3,12,402,2
2,12,403,2
1,12,404,2
1,12,405,2
3,12,406,2
1,12,407,2
1,12,408,2
3,12,409,2
1,12,410,2
6,12,411,2
1,12,412,2
3,12,413,2
1,12,414,2
1,12,415,2
3,12,416,2
2,12,417,2
9,12,418,2
3,12,419,2
13,12,420,2
12,12,421,2
9,12,422,2
1,12,423,2
1,12,424,2
7,12,425,2
5,12,426,2
8,12,427,2
10,12,428,2
10,12,429,2
2,12,430,2
2,12,431,2
1,12,432,2
9,12,433,2
5,12,434,2
8,12,435,2
5,12,436,2
3,12,437,2
5,12,438,2
1,12,439,2
1,12,440,2
1,12,441,2
2,12,442,2
1,12,443,2
1,12,444,2
1,12,445,2
2,12,446,2
2,12,447,2
3,12,448,2
1,12,449,2
1,12,450,2
4,12,451,2
16,12,452,2
8,12,453,2
2,12,454,2
3,12,455,2
1,12,456,2
1,12,457,2
1,12,458,2
1,12,459,2
1,12,460,2
3,12,461,2
1,12,462,2
2,12,463,2
1,12,464,2
1,12,465,2
1,12,466,2
1,12,467,2
1,12,468,2
1,12,469,2
1,12,470,2
1,12,471,2
1,12,472,2
1,12,473,2
1,12,474,2
1,12,475,2
1,12,476,2
1,12,477,2
1,12,478,2
1,12,479,2
1,12,480,2
2,12,481,2
3,12,482,2
2,12,483,2
2,12,484,2
2,12,485,2
1,12,486,2
1,12,487,2
9,12,488,2
8,12,489,2
1,12,490,2
2,12,491,2
6,12,492,2
2,12,493,2
8,12,494,2
1,12,495,2
1,12,496,2
3,12,497,2
5,12,498,2
1,12,499,2
1,12,500,2
11,12,501,2
23,12,502,2
2,12,503,2
2,12,504,2
1,12,505,2
12,12,506,2
2,12,507,2
1,12,508,2
5,12,509,2
3,12,510,2
6,12,511,2
8,12,512,2
1,12,513,2
1,12,514,2
18,12,515,2
2,12,516,2
5,12,517,2
4,12,518,2
5,12,519,2
22,12,520,2
2,12,521,2
11,12,522,2
6,12,523,2
2,12,524,2
10,12,525,2
3,12,526,2
1,12,527,2
1,12,528,2
1,12,529,2
2,12,530,2
1,12,531,2
1,12,532,2
4,12,533,2
3,12,534,2
2,12,535,2
5,12,536,2
3,12,537,2
3,12,538,2
1,12,539,2
1,12,540,2
2,12,541,2
2,12,542,2
1,12,543,2
1,12,544,2
1,12,545,2
1,12,546,2
1,12,547,2
1,12,548,2
1,12,549,2
1,12,550,2
1,12,551,2
1,12,552,2
1,12,553,2
1,12,554,2
1,12,555,2
1,12,556,2
1,12,557,2
1,12,558,2
1,12,559,2
1,12,560,2
3,12,561,2
1,12,562,2
9,12,563,2
5,12,564,2
1,12,565,2
11,12,566,2
8,12,567,2
1,12,568,2
1,12,569,2
2,12,570,2
1,12,571,2
1,12,572,2
1,12,573,2
2,12,574,2
8,12,575,2
2,12,576,2
2,12,577,2
2,12,578,2
9,12,579,2
1,12,580,2
4,12,581,2
1,12,582,2
2,12,583,2
1,12,584,2
1,12,585,2
9,12,586,2
1,12,587,2
3,12,588,2
11,12,589,2
1,12,590,2
1,12,591,2
3,12,592,2
2,12,593,2
2,12,594,2
1,12,595,2
1,12,596,2
1,12,597,2
2,12,598,2
6,12,599,2
1,12,600,2
4,12,601,2
3,12,602,2
4,12,603,2
1,12,604,2
2,12,605,2
6,12,606,2
11,12,607,2
4,12,608,2
1,12,609,2
2,12,610,2
1,12,611,2
1,12,612,2
1,12,613,2
1,12,614,2
1,12,615,2
1,12,616,2
1,12,617,2
1,12,618,2
1,12,619,2
1,12,620,2
1,12,621,2
1,12,622,2
1,12,623,2
1,12,624,2
1,12,625,2
1,12,626,2
1,12,627,2
1,12,628,2
1,12,629,2
2,12,630,2
5,12,631,2
11,12,632,2
2,12,633,2
6,12,634,2
12,12,635,2
4,12,636,2
9,12,637,2
3,12,638,2
9,12,639,2
1,12,640,2
4,12,641,2
10,12,642,2
6,12,643,2
1,12,644,2
2,12,645,2
1,12,646,2
2,12,647,2
1,12,648,2
2,12,649,2
3,12,650,2
3,12,651,2
2,12,652,2
1,12,653,2
4,12,654,2
1,12,655,2
4,12,656,2
2,12,657,2
2,12,658,2
5,12,659,2
4,12,660,2
5,12,661,2
5,12,662,2
20,12,663,2
2,12,664,2
7,12,665,2
1,12,666,2
2,12,667,2
1,12,668,2
1,12,669,2
1,12,670,2
2,12,671,2
1,12,672,2
5,12,673,2
2,12,674,2
1,12,675,2
2,12,676,2
2,12,677,2
1,12,678,2
2,12,679,2
1,12,680,2
2,12,681,2
2,12,682,2
1,12,683,2
1,12,684,2
1,12,685,2
2,12,686,2
1,12,687,2
1,12,688,2
3,12,689,2
1,12,690,2
